date,samsung,kospi200,samsung_dividends yields(annualized),delta_samsung,delta_kospi,vol_samsung,vol_kospi,corr,zero_rate_3M,zero_rate_6M,zero_rate_1Y,zero_rate_2Y,zero_rate_3Y,pnl
2023-10-06,"66,000",319,1.84,,,0.2004,0.1593,0.6556,3.4679,3.6584,3.722,3.9836,4.0195,0
2023-10-10,"66,400",319,1.84,,,0.1986,0.1545,0.6414,3.5287,3.6425,3.723,3.9622,4.0014,0
2023-10-11,"68,200",325,1.84,,,0.194,0.1498,0.6367,3.4933,3.6216,3.713,3.9359,3.9566,0
2023-10-12,"68,900",329,1.84,,,0.215,0.1624,0.715,3.4829,3.595,3.704,3.9097,3.9356,0
2023-10-13,"68,000",326,1.84,,,0.2125,0.1644,0.7262,3.4816,3.5902,3.728,3.9226,3.961,0
2023-10-16,"67,300",323,1.84,,,0.2119,0.1633,0.7404,3.4162,3.5789,3.739,3.9337,3.9772,0
2023-10-17,"69,400",327,1.84,,,0.2093,0.1624,0.7508,3.4766,3.5608,3.738,3.9409,3.9957,0
2023-10-18,"70,500",329,1.84,,,0.2355,0.1645,0.7668,3.4394,3.5453,3.753,3.9714,4.0363,0
2023-10-19,"69,500",323,1.84,,,0.2364,0.1612,0.7707,3.4662,3.5535,3.767,3.9844,4.0762,0
2023-10-20,"68,800",318,1.84,,,0.2358,0.1719,0.7788,3.4662,3.5648,3.749,3.9468,4.0389,0
2023-10-23,"68,400",316,1.84,,,0.232,0.1774,0.7795,3.4675,3.4922,3.761,3.9633,4.0614,0
2023-10-24,"68,500",318,1.84,,,0.226,0.1737,0.782,3.4208,3.4668,3.738,3.9322,4.0096,0
2023-10-25,"68,000",316,1.84,,,0.2192,0.1702,0.7773,3.4363,3.4151,3.743,3.9578,4.0443,0
2023-10-26,"66,700",308,1.84,,,0.2145,0.1668,0.7816,3.4428,3.4445,3.761,4.0023,4.1113,0
2023-10-27,"67,300",309,1.84,,,0.2211,0.19,0.8038,3.5113,3.4778,3.749,3.984,4.0797,0
2023-10-30,"67,300",309,1.84,,,0.2171,0.1847,0.8027,3.4628,3.4727,3.745,4.0014,4.0959,0
2023-10-31,"66,900",306,1.84,,,0.2107,0.1791,0.8029,3.4583,3.483,3.74,4.0076,4.0917,0
2023-11-01,"68,600",310,1.84,,,0.2054,0.1777,0.8032,3.4518,3.4215,3.731,3.9978,4.0777,0
